"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_octo_joyyou_sixty","fare_single_adult","fare_single_child","fare_single_elderly"
"10","260",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"10","265",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"10","920",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","40",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"10","50",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"10","60",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","70",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","75",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","80",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","170",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","180",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","190",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","200",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","212",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","220",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","230",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","270",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","275",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","280",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","295",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","300",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","310",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","320",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","330",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"10","90",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","100",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","110",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"10","120",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"10","130",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","140",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","150",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","160",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"10","340",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"10","350",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"10","360",6.10,3.00,2.00,2.00,3.00,2.00,6.50,3.50,3.50
"10","370",6.50,3.30,2.00,2.00,3.30,2.00,6.50,3.50,3.50
"10","380",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","390",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","400",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","425",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","430",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","435",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","445",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","448",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","450",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","455",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","460",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","490",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","500",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","468",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","480",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","510",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","520",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","530",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","540",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","550",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","560",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","570",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"10","580",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","590",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"10","600",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"15","1",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
